,Actual,Forecast
2019-06-09 00:00:00+00:00,54528.16071428572,56548.04183748035
2019-06-16 00:00:00+00:00,52286.708333333336,56245.39902092267
2019-06-23 00:00:00+00:00,52541.21428571428,57030.2645681695
2019-06-30 00:00:00+00:00,55955.28571428572,56398.76792418405
2019-07-07 00:00:00+00:00,55179.63095238096,56665.775401327934
2019-07-14 00:00:00+00:00,53908.16666666666,54927.36303918302
2019-07-21 00:00:00+00:00,53511.96428571428,54539.344977606095
2019-07-28 00:00:00+00:00,54207.10119047619,55663.91405630026
2019-08-04 00:00:00+00:00,52392.10119047619,55488.093765046666
2019-08-11 00:00:00+00:00,52019.05357142857,54834.06522165995
2019-08-18 00:00:00+00:00,51155.23809523809,54043.82641337713
2019-08-25 00:00:00+00:00,51838.13095238096,55244.45949632925
2019-09-01 00:00:00+00:00,54091.97023809524,55234.61098360122
2019-09-08 00:00:00+00:00,52443.16071428572,55614.55536709414
2019-09-15 00:00:00+00:00,53348.48809523809,55983.0277886739
2019-09-22 00:00:00+00:00,53222.54761904762,57051.80727990332
2019-09-29 00:00:00+00:00,54829.47619047619,56815.82277270674
2019-10-06 00:00:00+00:00,52330.63095238096,55148.23547729418
2019-10-13 00:00:00+00:00,55801.708333333336,58055.620359190034
2019-10-20 00:00:00+00:00,56132.79166666666,58326.196852552916
2019-10-27 00:00:00+00:00,56484.41071428572,59220.969150963836
2019-11-03 00:00:00+00:00,55029.63095238096,55958.00987899109
2019-11-10 00:00:00+00:00,58159.36309523809,61061.90421691751
2019-11-17 00:00:00+00:00,59112.23809523809,61767.48075926381
2019-11-24 00:00:00+00:00,59735.94047619047,62247.85286118998
2019-12-01 00:00:00+00:00,59842.833333333336,63518.79140123878
2019-12-08 00:00:00+00:00,61059.29761904762,64455.90058384673
2019-12-15 00:00:00+00:00,61242.19047619047,63863.524602821184
2019-12-22 00:00:00+00:00,56836.767857142855,59073.763182867326
2019-12-29 00:00:00+00:00,46505.30952380953,50134.98329794552
2020-01-05 00:00:00+00:00,50161.70238095238,57396.76570560117
2020-01-12 00:00:00+00:00,59077.59523809524,62181.47386007676
2020-01-19 00:00:00+00:00,60361.69642857143,63754.19688302963
2020-01-26 00:00:00+00:00,60893.732142857145,62344.330278226545
2020-02-02 00:00:00+00:00,60839.19642857143,62576.76917732705
2020-02-09 00:00:00+00:00,60259.83928571428,63017.799760816306
2020-02-16 00:00:00+00:00,60845.125,62460.29044236439
2020-02-23 00:00:00+00:00,59787.32738095238,62308.411233370476
2020-03-01 00:00:00+00:00,58899.13690476191,64260.504952849806
2020-03-08 00:00:00+00:00,58688.47023809524,60844.26447928167
2020-03-15 00:00:00+00:00,58534.23809523809,61994.33313886048
2020-03-22 00:00:00+00:00,55372.744047619046,61696.83928349154
2020-03-29 00:00:00+00:00,53471.982142857145,57053.4032883039
2020-04-05 00:00:00+00:00,52845.267857142855,56397.37132788991
2020-04-12 00:00:00+00:00,47210.88690476191,57218.08333642427
2020-04-19 00:00:00+00:00,47415.69642857143,56079.358815814165
2020-04-26 00:00:00+00:00,50172.41666666666,57150.639956399755
2020-05-03 00:00:00+00:00,48161.90476190476,54682.809634994504
2020-05-10 00:00:00+00:00,49590.77976190476,54881.14882792984
2020-05-17 00:00:00+00:00,50926.97619047619,56812.80933319479
2020-05-24 00:00:00+00:00,47439.642857142855,54872.13245418144
2020-05-31 00:00:00+00:00,49527.607142857145,55674.21567035504
2020-06-07 00:00:00+00:00,48776.244047619046,57340.1794288059
2020-06-14 00:00:00+00:00,48219.744047619046,57037.53661224761
2020-06-21 00:00:00+00:00,49813.94642857143,57822.402159494115
2020-06-28 00:00:00+00:00,50480.79166666666,57190.905515508515
2020-07-05 00:00:00+00:00,51458.875,57457.91299265232
2020-07-12 00:00:00+00:00,51252.57738095238,55719.500630507355
2020-07-19 00:00:00+00:00,50896.18452380953,55331.48256893042
2020-07-26 00:00:00+00:00,50475.73809523809,56456.051647624576
2020-08-02 00:00:00+00:00,50049.392857142855,56280.231356370976
2020-08-09 00:00:00+00:00,49450.92261904762,55626.20281298426
2020-08-16 00:00:00+00:00,52076.73809523809,54835.96400470144
2020-08-23 00:00:00+00:00,51872.05952380953,56036.59708765356
2020-08-30 00:00:00+00:00,51653.375,56026.74857492553
2020-09-06 00:00:00+00:00,51617.744047619046,56406.69295841845
2020-09-13 00:00:00+00:00,51507.63095238096,56775.1653799982
2020-09-20 00:00:00+00:00,52181.32738095238,57843.944871227635
2020-09-27 00:00:00+00:00,53411.93452380953,57607.96036403105
2020-10-04 00:00:00+00:00,57410.319444444445,55940.37306861849
