,Actual,Forecast
2019-12-01 00:00:00+00:00,59842.833333333336,63129.56151515713
2019-12-08 00:00:00+00:00,61059.29761904762,64459.08794879218
2019-12-15 00:00:00+00:00,61242.19047619047,63678.316149067374
2019-12-22 00:00:00+00:00,56836.767857142855,58695.893899602364
2019-12-29 00:00:00+00:00,46505.30952380953,50323.75210663103
2020-01-05 00:00:00+00:00,50161.70238095238,57625.84147716411
2020-01-12 00:00:00+00:00,59077.59523809524,61442.039017279916
2020-01-19 00:00:00+00:00,60361.69642857143,62870.629045877016
2020-01-26 00:00:00+00:00,60893.732142857145,62840.646633311786
2020-02-02 00:00:00+00:00,60839.19642857143,62044.57429627314
2020-02-09 00:00:00+00:00,60259.83928571428,61912.64995599287
2020-02-16 00:00:00+00:00,60845.125,61715.8018726419
2020-02-23 00:00:00+00:00,59787.32738095238,61296.48464694584
2020-03-01 00:00:00+00:00,58899.13690476191,62801.963896261725
2020-03-08 00:00:00+00:00,58688.47023809524,60713.99329270654
2020-03-15 00:00:00+00:00,58534.23809523809,61447.17719635277
2020-03-22 00:00:00+00:00,55372.744047619046,61017.51844638002
2020-03-29 00:00:00+00:00,53471.982142857145,57325.578268369456
2020-04-05 00:00:00+00:00,52845.267857142855,57259.70681404815
2020-04-12 00:00:00+00:00,47210.88690476191,57589.667368272385
2020-04-19 00:00:00+00:00,47415.69642857143,56749.854059087746
2020-04-26 00:00:00+00:00,50172.41666666666,57206.323924539625
2020-05-03 00:00:00+00:00,48161.90476190476,54725.841440221375
2020-05-10 00:00:00+00:00,49590.77976190476,55488.12438366637
2020-05-17 00:00:00+00:00,50926.97619047619,57792.56586863908
2020-05-24 00:00:00+00:00,47439.642857142855,55151.68573966542
2020-05-31 00:00:00+00:00,49527.607142857145,55737.64568950722
2020-06-07 00:00:00+00:00,48776.244047619046,57282.6707266416
2020-06-14 00:00:00+00:00,48219.744047619046,57131.22964521678
2020-06-21 00:00:00+00:00,49813.94642857143,57709.21303516984
2020-06-28 00:00:00+00:00,50480.79166666666,57419.40092856569
2020-07-05 00:00:00+00:00,51458.875,57450.73522886668
2020-07-12 00:00:00+00:00,51252.57738095238,55890.93544897484
2020-07-19 00:00:00+00:00,50896.18452380953,55375.903240269254
2020-07-26 00:00:00+00:00,50475.73809523809,55966.244360139004
2020-08-02 00:00:00+00:00,50049.392857142855,55735.941854566554
2020-08-09 00:00:00+00:00,49450.92261904762,55714.18699007824
2020-08-16 00:00:00+00:00,52076.73809523809,55348.51059544794
2020-08-23 00:00:00+00:00,51872.05952380953,56401.62615680867
2020-08-30 00:00:00+00:00,51653.375,55987.88601666328
2020-09-06 00:00:00+00:00,51617.744047619046,56524.70906140541
2020-09-13 00:00:00+00:00,51507.63095238096,56733.221954769884
2020-09-20 00:00:00+00:00,52181.32738095238,57856.75019011119
2020-09-27 00:00:00+00:00,53411.93452380953,57262.68511846492
2020-10-04 00:00:00+00:00,57410.319444444445,55604.11578336228
