ARIMA,Seasonal,AIC
"(3, 2, 2)","(0, 1, 1, 52)",1572.2264695740573
"(1, 1, 1)","(0, 1, 1, 52)",1578.4050170443961
"(5, 1, 1)","(0, 1, 1, 52)",1578.7022795638813
"(2, 1, 1)","(0, 1, 1, 52)",1579.1857985351994
"(6, 1, 1)","(0, 1, 1, 52)",1579.3391146871961
"(2, 2, 1)","(0, 1, 1, 52)",1579.696318819041
"(2, 0, 2)","(0, 1, 1, 52)",1579.9145470886447
"(1, 0, 2)","(0, 1, 1, 52)",1580.1037777548754
"(6, 2, 1)","(0, 1, 1, 52)",1580.7666707812964
"(3, 1, 1)","(0, 1, 1, 52)",1581.1254651467489
"(3, 2, 1)","(0, 1, 1, 52)",1581.3055328547423
"(0, 1, 1)","(0, 1, 1, 52)",1582.0446852084349
"(4, 0, 2)","(0, 1, 1, 52)",1582.2057402898838
"(4, 1, 1)","(0, 1, 1, 52)",1582.4104122751774
"(4, 2, 1)","(0, 1, 1, 52)",1582.5333227540705
"(3, 0, 2)","(0, 1, 1, 52)",1585.7700422904038
"(6, 0, 2)","(0, 1, 1, 52)",1586.1803308195294
"(0, 0, 2)","(0, 1, 1, 52)",1588.4693543428102
"(5, 0, 2)","(0, 1, 1, 52)",1589.5580926079028
"(5, 2, 1)","(0, 1, 1, 52)",1590.3401728664528
"(1, 2, 1)","(0, 1, 1, 52)",1593.5978370156238
"(2, 0, 1)","(0, 1, 1, 52)",1594.1854786344522
"(3, 0, 1)","(0, 1, 1, 52)",1596.0794576515127
"(1, 0, 1)","(0, 1, 1, 52)",1597.3949257226616
"(4, 0, 1)","(0, 1, 1, 52)",1597.817654346639
"(5, 0, 1)","(0, 1, 1, 52)",1599.6133176340475
"(6, 0, 1)","(0, 1, 1, 52)",1601.3371650164577
"(0, 2, 1)","(0, 1, 1, 52)",1603.4798523316842
"(2, 1, 0)","(0, 1, 1, 52)",1606.2125156756838
"(5, 1, 0)","(0, 1, 1, 52)",1608.516484126977
"(4, 1, 0)","(0, 1, 1, 52)",1609.2058395639026
"(3, 1, 0)","(0, 1, 1, 52)",1609.37559453717
"(0, 0, 1)","(0, 1, 1, 52)",1609.7718405774515
"(6, 1, 0)","(0, 1, 1, 52)",1610.031013626663
"(1, 1, 0)","(0, 1, 1, 52)",1610.7694642222186
"(2, 0, 0)","(0, 1, 1, 52)",1615.9399001655238
"(3, 0, 0)","(0, 1, 1, 52)",1616.422010720846
"(1, 0, 0)","(0, 1, 1, 52)",1618.2129040788586
"(4, 0, 0)","(0, 1, 1, 52)",1618.2530470715515
"(6, 0, 0)","(0, 1, 1, 52)",1619.7285699534186
"(5, 0, 0)","(0, 1, 1, 52)",1620.2528734500002
"(6, 2, 0)","(0, 1, 1, 52)",1620.822936840435
"(5, 2, 0)","(0, 1, 1, 52)",1621.8240041902643
"(0, 1, 0)","(0, 1, 1, 52)",1622.3308975954283
"(4, 2, 0)","(0, 1, 1, 52)",1627.4011454747604
"(3, 2, 0)","(0, 1, 1, 52)",1627.9177911841364
"(2, 2, 0)","(0, 1, 1, 52)",1634.5756985737332
"(0, 0, 0)","(0, 1, 1, 52)",1643.6030726045215
"(1, 2, 0)","(0, 1, 1, 52)",1656.2440390585277
"(0, 2, 0)","(0, 1, 1, 52)",1686.0379664927075
